Most used words by Flume: 
Number of songs scanned: 54

1012. perpetual - 1 use.
1013. lifestyle - 1 use.
1014. bezel - 1 use.
1015. blinding - 1 use.
1016. cloud - 1 use.
1017. dealers - 1 use.
1018. check - 1 use.
1019. kilogram - 1 use.
1020. power - 1 use.
1021. shooters - 1 use.
1022. text - 1 use.
1023. undressed - 1 use.
1024. girlfriend - 1 use.
1025. brought - 1 use.
1026. checks - 1 use.
1027. tech - 1 use.
1028. haters - 1 use.
1029. rest - 1 use.
1030. wrapped - 1 use.
1031. plastics - 1 use.
1032. classics - 1 use.
1033. television - 1 use.
1034. sitcom - 1 use.
1035. fuzzy - 1 use.
1036. screen - 1 use.
1037. static - 1 use.
1038. milk - 1 use.
1039. raisin - 1 use.
1040. tasting - 1 use.
1041. fiber-tastic - 1 use.
1042. imagined - 1 use.
1043. lifes - 1 use.
1044. tragic - 1 use.
1045. finn - 1 use.
1046. raddest - 1 use.
1047. jake - 1 use.
1048. passed - 1 use.
1049. yellow - 1 use.
1050. bastard - 1 use.
1051. ten - 1 use.
1052. romantic - 1 use.
1053. relaxing - 1 use.
1054. crack - 1 use.
1055. acid - 1 use.
1056. jenny - 1 use.
1057. bitching - 1 use.
1058. ex - 1 use.
1059. melodramatics - 1 use.
1060. intergalactic - 1 use.
1061. warmth - 1 use.
1062. fast - 1 use.
1063. escaping - 1 use.
1064. attic - 1 use.
1065. stoned - 1 use.
1066. hole - 1 use.
1067. automatic - 1 use.
1068. date - 1 use.
1069. weight - 1 use.
1070. needed - 1 use.
1071. seem - 1 use.
1072. forget - 1 use.
1073. grill - 1 use.
1074. following - 1 use.
1075. tiny - 1 use.
1076. cities - 1 use.
1077. wind - 1 use.
1078. diamond - 1 use.
1079. desert - 1 use.
1080. ahead - 1 use.
1081. whatd - 1 use.
1082. killing - 1 use.
1083. convince - 1 use.
1084. dominoes - 1 use.
1085. uphill - 1 use.
1086. pressure - 1 use.
1087. build - 1 use.
1088. slowly - 1 use.
1089. holla - 1 use.
1090. heartstrings - 1 use.
1091. rocky - 1 use.
1092. brave - 1 use.
1093. living - 1 use.
1094. gilded - 1 use.
1095. track - 1 use.
1096. games - 1 use.
1097. path - 1 use.
1098. loved - 1 use.
1099. allegiance - 1 use.
1100. fickle-minded - 1 use.
1101. shiny - 1 use.
1102. sleeping - 1 use.
1103. taste - 1 use.
1104. cmon - 1 use.
1105. overlooking - 1 use.
1106. pulling - 1 use.
1107. faster - 1 use.
1108. seventeen - 1 use.
1109. nicotine - 1 use.
1110. breath - 1 use.
1111. pictures - 1 use.
1112. telling - 1 use.
1113. years - 1 use.
1114. issues - 1 use.
1115. looked - 1 use.
1116. stages - 1 use.
1117. funny - 1 use.
