Most used words by Pavement: 
Number of songs scanned: 130

782. wisdompower - 2 uses.
783. naw - 2 uses.
784. beehive - 2 uses.
785. tossed - 2 uses.
786. west - 2 uses.
787. glide - 2 uses.
788. pilots - 2 uses.
789. fades - 2 uses.
790. breath - 2 uses.
791. prize - 2 uses.
792. cherry - 2 uses.
793. locked - 2 uses.
794. nose - 2 uses.
795. while - 2 uses.
796. cats - 2 uses.
797. form - 2 uses.
798. fat - 2 uses.
799. plain - 2 uses.
800. fiery - 2 uses.
801. cage - 2 uses.
802. bind - 2 uses.
803. wrists - 2 uses.
804. cigarette - 2 uses.
805. lip - 2 uses.
806. anyway - 2 uses.
807. seats - 2 uses.
808. finish - 2 uses.
809. sometimes - 2 uses.
810. wine - 2 uses.
811. christians - 2 uses.
812. rind - 2 uses.
813. intuition - 2 uses.
814. dock - 2 uses.
815. effort - 2 uses.
816. delivery - 2 uses.
817. starts - 2 uses.
818. lay - 2 uses.
819. bone - 2 uses.
820. asses - 2 uses.
821. corner - 2 uses.
822. colonized - 2 uses.
823. path - 2 uses.
824. castle - 2 uses.
825. design - 2 uses.
826. lock - 2 uses.
827. plate - 2 uses.
828. forgetting - 2 uses.
829. looked - 2 uses.
830. glance - 2 uses.
831. saying - 2 uses.
832. taught - 2 uses.
833. forehead - 2 uses.
834. getting - 2 uses.
835. rough - 2 uses.
836. glad - 2 uses.
837. blind - 2 uses.
838. positive - 2 uses.
839. chief - 2 uses.
840. dark - 2 uses.
841. awaits - 2 uses.
842. slight - 2 uses.
843. thinking - 2 uses.
844. short - 2 uses.
845. middle - 2 uses.
846. leads - 2 uses.
847. strangers - 2 uses.
848. narrow - 2 uses.
849. brought - 2 uses.
850. runs - 2 uses.
851. own - 2 uses.
852. hall - 2 uses.
853. closed - 2 uses.
854. walking - 2 uses.
855. shots - 2 uses.
856. dancing - 2 uses.
857. grass - 2 uses.
858. turning - 2 uses.
859. trail - 2 uses.
860. summertime - 2 uses.
861. thrills - 2 uses.
862. tracks - 2 uses.
863. given - 2 uses.
864. swallow - 2 uses.
865. answer - 2 uses.
866. surgeons - 2 uses.
867. freeway - 2 uses.
868. fifty - 2 uses.
869. big - 2 uses.
870. joke - 2 uses.
871. waste - 2 uses.
872. wicket - 2 uses.
873. wicked - 2 uses.
874. except - 2 uses.
875. bomb - 2 uses.
876. dear - 2 uses.
877. grounds - 2 uses.
878. girlfriend - 2 uses.
879. eating - 2 uses.
880. waits - 2 uses.
881. levee - 2 uses.
882. mixing - 2 uses.
883. cocktails - 2 uses.
884. plastic-tipped - 2 uses.
885. robes - 2 uses.
886. protein - 2 uses.
887. abandoned - 2 uses.
888. deposit - 2 uses.
889. daily - 2 uses.
890. robe - 2 uses.
891. tokyo - 2 uses.
892. toast - 2 uses.
893. wedding - 2 uses.
894. host - 2 uses.
895. roast - 2 uses.
896. arrived - 2 uses.
897. mix - 2 uses.
898. tip - 2 uses.
899. stairs - 2 uses.
900. someones - 2 uses.
901. stockings - 2 uses.
902. floor - 2 uses.
903. falls - 2 uses.
904. pity - 2 uses.
905. isnt - 2 uses.
906. anything - 2 uses.
907. chest - 2 uses.
908. plank - 2 uses.
909. working - 2 uses.
910. levis - 2 uses.
911. story - 2 uses.
912. distorted - 2 uses.
913. ghost - 2 uses.
914. jar - 2 uses.
915. mama - 2 uses.
916. shine - 2 uses.
917. sue - 2 uses.
918. fortune-teller - 2 uses.
919. rue - 2 uses.
920. tide - 2 uses.
921. general - 2 uses.
922. washington - 2 uses.
923. patented - 2 uses.
924. skull - 2 uses.
925. highs - 2 uses.
926. hungry - 2 uses.
927. years - 2 uses.
928. wonderful - 2 uses.
929. shove - 2 uses.
930. turnstiles - 2 uses.
931. pigs - 2 uses.
932. gloves - 2 uses.
933. crime - 2 uses.
934. complete - 2 uses.
935. absolutely - 2 uses.
936. pumpkins - 2 uses.
937. understand - 2 uses.
938. foxy - 2 uses.
939. haircut - 2 uses.
940. drummer - 2 uses.
941. scenes - 2 uses.
942. crazy - 2 uses.
943. bands - 2 uses.
944. band - 2 uses.
945. practice - 2 uses.
946. worked - 2 uses.
947. witch - 2 uses.
948. fourth - 2 uses.
949. shades - 2 uses.
950. ray - 2 uses.
951. prison - 2 uses.
952. architects - 2 uses.
953. blueprints - 2 uses.
954. asap - 2 uses.
955. stack - 2 uses.
