Most used words by Creeper: 
Number of songs scanned: 55

774. tv - 1 use.
775. swears - 1 use.
776. favourite - 1 use.
777. dress - 1 use.
778. loves - 1 use.
779. none - 1 use.
780. sweeping - 1 use.
781. starless - 1 use.
782. skies - 1 use.
783. slips - 1 use.
784. handed - 1 use.
785. records - 1 use.
786. shared - 1 use.
787. condescending - 1 use.
788. tone - 1 use.
789. sisters - 1 use.
790. wedding - 1 use.
791. gave - 1 use.
792. pull - 1 use.
793. plyers - 1 use.
794. gaslighting - 1 use.
795. liars - 1 use.
796. says - 1 use.
797. pick - 1 use.
798. tank - 1 use.
799. sang - 1 use.
800. rare - 1 use.
801. mountain - 1 use.
802. dew - 1 use.
803. lucky - 1 use.
804. eighteen-to-one - 1 use.
805. big - 1 use.
806. rivers - 1 use.
807. broadway - 1 use.
808. queen - 1 use.
809. york - 1 use.
810. band - 1 use.
811. finished - 1 use.
812. howled - 1 use.
813. sinatra - 1 use.
814. swinging - 1 use.
815. drunks - 1 use.
816. kissed - 1 use.
817. bum - 1 use.
818. punk - 1 use.
819. slut - 1 use.
820. junk - 1 use.
821. drip - 1 use.
822. scumbag - 1 use.
823. maggot - 1 use.
824. lousy - 1 use.
825. faggot - 1 use.
826. arse - 1 use.
827. pray - 1 use.
828. anyone - 1 use.
829. found - 1 use.
830. built - 1 use.
831. arc - 1 use.
832. stain - 1 use.
833. boards - 1 use.
834. goblins - 1 use.
835. warlords - 1 use.
836. sound - 1 use.
837. smell - 1 use.
838. blows - 1 use.
839. cares - 1 use.
840. nobody - 1 use.
841. follow - 1 use.
842. sacred - 1 use.
843. escape - 1 use.
844. molars - 1 use.
845. fangs - 1 use.
846. clicking - 1 use.
847. moaning - 1 use.
848. tombstones - 1 use.
849. bright - 1 use.
850. cries - 1 use.
851. something - 1 use.
852. sudden - 1 use.
853. chill - 1 use.
854. grinning - 1 use.
855. flesh - 1 use.
856. rotting - 1 use.
857. skeletons - 1 use.
858. wolves - 1 use.
859. cry - 1 use.
860. listen - 1 use.
861. shout - 1 use.
862. decorations - 1 use.
863. green - 1 use.
864. tree - 1 use.
865. dear - 1 use.
866. snowflakes - 1 use.
867. fallin - 1 use.
868. memories - 1 use.
869. callin - 1 use.
870. krueger - 1 use.
871. kills - 1 use.
872. steal - 1 use.
873. tempt - 1 use.
874. january - 1 use.
875. breath - 1 use.
876. begged - 1 use.
877. laced - 1 use.
878. became - 1 use.
879. peoples - 1 use.
880. suburban - 1 use.
881. wince - 1 use.
882. remain - 1 use.
883. softly - 1 use.
884. moved - 1 use.
885. sadly - 1 use.
886. ad - 1 use.
887. section - 1 use.
888. bumper - 1 use.
889. warm - 1 use.
890. comet - 1 use.
891. wipe - 1 use.
892. roe - 1 use.
893. sits - 1 use.
894. shines - 1 use.
895. blade - 1 use.
896. darlin - 1 use.
897. faithful - 1 use.
898. unto - 1 use.
899. crown - 1 use.
900. ammunition - 1 use.
901. casualty - 1 use.
902. napalm - 1 use.
903. jilted - 1 use.
904. destroyed - 1 use.
905. destroy - 1 use.
906. kissing - 1 use.
907. acid - 1 use.
908. tongue - 1 use.
909. cutest - 1 use.
910. halls - 1 use.
911. exhaled - 1 use.
912. nicotine - 1 use.
913. breathed - 1 use.
914. denim - 1 use.
915. milk - 1 use.
916. underneath - 1 use.
917. spell - 1 use.
918. christina - 1 use.
919. applegate - 1 use.
920. hopelessly - 1 use.
921. 1988 - 1 use.
922. lady - 1 use.
923. please - 1 use.
924. knees - 1 use.
925. grass - 1 use.
926. stains - 1 use.
927. nasty - 1 use.
928. cup - 1 use.
929. envious - 1 use.
930. lust - 1 use.
931. gin - 1 use.
932. tonic - 1 use.
933. trance - 1 use.
934. sobriety - 1 use.
935. drive - 1 use.
936. road - 1 use.
937. runs - 1 use.
938. dry - 1 use.
939. sins - 1 use.
940. beneath - 1 use.
941. forgives - 1 use.
942. fugitives - 1 use.
943. impart - 1 use.
944. monolithic - 1 use.
945. write - 1 use.
946. reckless - 1 use.
947. eighteen - 1 use.
948. portal - 1 use.
949. opposed - 1 use.
950. cowered - 1 use.
951. thousand - 1 use.
952. thorny - 1 use.
953. fawn - 1 use.
954. pathetic - 1 use.
955. hopeless - 1 use.
956. bloom - 1 use.
957. keen - 1 use.
958. agreement - 1 use.
959. tend - 1 use.
960. fleeting - 1 use.
961. bows - 1 use.
962. disparate - 1 use.
963. grows - 1 use.
964. fucks - 1 use.
965. amount - 1 use.
966. star - 1 use.
967. chest - 1 use.
968. lays - 1 use.
969. emptiness - 1 use.
970. loneliness - 1 use.
971. undressed - 1 use.
972. blessed - 1 use.
973. letterbomb - 1 use.
974. address - 1 use.
975. nameless - 1 use.
976. guilty - 1 use.
977. blameless - 1 use.
978. woke - 1 use.
979. neighbours - 1 use.
980. screaming - 1 use.
981. rains - 1 use.
982. colours - 1 use.
983. bleed - 1 use.
984. themselves - 1 use.
985. explode - 1 use.
986. dreamt - 1 use.
987. led - 1 use.
988. threw - 1 use.
989. wishing - 1 use.
990. walked - 1 use.
991. hallway - 1 use.
992. bite - 1 use.
993. spiking - 1 use.
994. facts - 1 use.
995. overthinking - 1 use.
996. knocking - 1 use.
997. nails - 1 use.
998. ears - 1 use.
999. block - 1 use.
1000. expect - 1 use.
1001. 22 - 1 use.
1002. birth - 1 use.
1003. soiled - 1 use.
1004. fiery - 1 use.
1005. blackest - 1 use.
1006. children - 1 use.
1007. sings - 1 use.
1008. reap - 1 use.
1009. shallow - 1 use.
1010. pouring - 1 use.
1011. defiance - 1 use.
1012. wood - 1 use.
1013. church - 1 use.
1014. yard - 1 use.
1015. steeple - 1 use.
1016. looks - 1 use.
1017. secret - 1 use.
1018. crushed - 1 use.
1019. roses - 1 use.
1020. removing - 1 use.
1021. pressing - 1 use.
1022. against - 1 use.
1023. familiar - 1 use.
1024. yearning - 1 use.
1025. guess - 1 use.
1026. embrace - 1 use.
1027. welcomes - 1 use.
1028. be-be-be - 1 use.
1029. armageddon - 1 use.
1030. fall-fall-fall - 1 use.
1031. unkept - 1 use.
1032. unslept - 1 use.
1033. unforgiven - 1 use.
1034. choking - 1 use.
1035. cops - 1 use.
1036. anticipation - 1 use.
1037. revelation - 1 use.
1038. temptation - 1 use.
1039. scorch - 1 use.
1040. body - 1 use.
1041. decay - 1 use.
1042. drank - 1 use.
1043. hoping - 1 use.
1044. looked - 1 use.
1045. raindrop - 1 use.
1046. stranger - 1 use.
1047. smokes - 1 use.
1048. twenty - 1 use.
1049. rush - 1 use.
1050. engine - 1 use.
1051. undone - 1 use.
1052. lennon - 1 use.
1053. curtis - 1 use.
1054. washing - 1 use.
1055. line - 1 use.
1056. 1980s - 1 use.
1057. twos - 1 use.
1058. ash - 1 use.
1059. dirt - 1 use.
1060. hot - 1 use.
1061. sin - 1 use.
1062. fucked - 1 use.
1063. parallels - 1 use.
1064. voids - 1 use.
1065. immersed - 1 use.
1066. rumours - 1 use.
1067. seclusion - 1 use.
1068. after - 1 use.
1069. wonder - 1 use.
1070. stop - 1 use.
1071. wordless - 1 use.
1072. communication - 1 use.
1073. graces - 1 use.
1074. relationships - 1 use.
1075. bask - 1 use.
1076. assign - 1 use.
1077. worth - 1 use.
1078. dressed - 1 use.
1079. spent - 1 use.
1080. burns - 1 use.
1081. fumble - 1 use.
1082. belt - 1 use.
1083. icecaps - 1 use.
1084. fight - 1 use.
1085. brazen - 1 use.
1086. trees - 1 use.
1087. highs - 1 use.
1088. erase - 1 use.
1089. lows - 1 use.
1090. darkening - 1 use.
1091. ferris - 1 use.
1092. wheels - 1 use.
1093. separate - 1 use.
1094. peers - 1 use.
1095. dull - 1 use.
1096. crystal - 1 use.
1097. ride - 1 use.
1098. sets - 1 use.
1099. fine - 1 use.
1100. ignore - 1 use.
1101. cracks - 1 use.
1102. weeks - 1 use.
1103. blank - 1 use.
1104. sober - 1 use.
1105. text - 1 use.
1106. cringing - 1 use.
1107. following - 1 use.
1108. ache - 1 use.
1109. vulnerable - 1 use.
1110. approach - 1 use.
1111. realise - 1 use.
1112. pay - 1 use.
1113. story - 1 use.
1114. johnny - 1 use.
1115. rotten - 1 use.
1116. rust - 1 use.
1117. picture - 1 use.
1118. meets - 1 use.
1119. eye - 1 use.
1120. very - 1 use.
1121. thoughts - 1 use.
1122. rent-a-heart - 1 use.
1123. overdue - 1 use.
1124. disappointment - 1 use.
1125. 30 - 1 use.
1126. routine - 1 use.
1127. counts - 1 use.
1128. ten - 1 use.
1129. confidant - 1 use.
1130. dearest - 1 use.
1131. cried - 1 use.
1132. somewhere - 1 use.
1133. failed - 1 use.
1134. scarves - 1 use.
1135. skirts - 1 use.
1136. school - 1 use.
1137. passed - 1 use.
1138. cemetery - 1 use.
1139. university - 1 use.
1140. resist - 1 use.
1141. bra - 1 use.
1142. coroners - 1 use.
1143. names - 1 use.
1144. office - 1 use.
1145. phone - 1 use.
1146. numbers - 1 use.
1147. pronounce - 1 use.
1148. tombs - 1 use.
1149. ex-boyfriends - 1 use.
1150. bedrooms - 1 use.
