Most used words by dodie: 
Number of songs scanned: 104

918. everybody - 2 uses.
919. lift - 2 uses.
920. dan - 2 uses.
921. sign - 2 uses.
922. gums - 2 uses.
923. sore - 2 uses.
924. dentists - 2 uses.
925. needles - 2 uses.
926. worrying - 2 uses.
927. week - 2 uses.
928. sugars - 2 uses.
929. age - 2 uses.
930. tongue - 2 uses.
931. notice - 2 uses.
932. spit - 2 uses.
933. demand - 2 uses.
934. needs - 2 uses.
935. chill - 2 uses.
936. seal - 2 uses.
937. kid - 2 uses.
938. genetic - 2 uses.
939. burden - 2 uses.
940. lead - 2 uses.
941. wind - 2 uses.
942. stone - 2 uses.
943. honey - 2 uses.
944. smooth - 2 uses.
945. bottle - 2 uses.
946. shiver - 2 uses.
947. hopeful - 2 uses.
948. questions - 2 uses.
949. disguise - 2 uses.
950. distracted - 2 uses.
951. wishing - 2 uses.
952. painted - 2 uses.
953. brighter - 2 uses.
954. teach - 2 uses.
955. kissing - 2 uses.
956. faking - 2 uses.
957. diary - 2 uses.
958. entries - 2 uses.
959. sixteen - 2 uses.
960. gaps - 2 uses.
961. neither - 2 uses.
962. fold - 2 uses.
963. illogical - 2 uses.
964. magical - 2 uses.
965. helping - 2 uses.
966. playing - 2 uses.
967. pushing - 2 uses.
968. prove - 2 uses.
969. proving - 2 uses.
970. teen - 2 uses.
971. lean - 2 uses.
972. lightly - 2 uses.
973. truth - 2 uses.
974. known - 2 uses.
975. heard - 2 uses.
976. finding - 2 uses.
977. raining - 2 uses.
978. infuriating - 2 uses.
979.  - 2 uses.
980. complain - 2 uses.
981. antisocial - 2 uses.
982. lazy - 2 uses.
983. fragile - 2 uses.
984. deep - 2 uses.
985. missed - 2 uses.
986. everyday - 2 uses.
987. text - 2 uses.
988. wouldve - 2 uses.
989. albums - 2 uses.
990. video - 2 uses.
991. heat - 2 uses.
992. flight - 2 uses.
993. bring - 2 uses.
994. bones - 2 uses.
995. five - 2 uses.
996. tinsel - 2 uses.
997. ninth - 2 uses.
998. carols - 2 uses.
999. spirit - 2 uses.
1000. spice-milled - 2 uses.
1001. wine - 2 uses.
1002. nobody - 2 uses.
1003. somebody - 2 uses.
1004. thousand - 2 uses.
1005. message - 2 uses.
1006. point - 2 uses.
1007. reasons - 2 uses.
1008. everythings - 2 uses.
1009. training - 2 uses.
1010. sofa - 2 uses.
