Most used words by Underoath: 
Number of songs scanned: 96

960. went - 2 uses.
961. remedy - 2 uses.
962. pretense - 2 uses.
963. liars - 2 uses.
964. mask - 2 uses.
965. push - 2 uses.
966. fake - 2 uses.
967. ways - 2 uses.
968. kallar - 2 uses.
969. jörðina - 2 uses.
970. frá - 2 uses.
971. í - 2 uses.
972. að - 2 uses.
973. призывает - 2 uses.
974. землю - 2 uses.
975. есть - 2 uses.
976. в - 2 uses.
977. его - 2 uses.
978. calls - 2 uses.
979. judge - 2 uses.
980. swell - 2 uses.
981. surviving - 2 uses.
982. peaceful - 2 uses.
983. aware - 2 uses.
984. spun - 2 uses.
985. crack - 2 uses.
986. window - 2 uses.
987. tasted - 2 uses.
988. wounded - 2 uses.
989. dirt - 2 uses.
990. crying - 2 uses.
991. realized - 2 uses.
992. coldness - 2 uses.
993. consequence - 2 uses.
994. modern - 2 uses.
995. classic - 2 uses.
996. knack - 2 uses.
997. exterior - 2 uses.
998. letters - 2 uses.
999. marching - 2 uses.
1000. shots - 2 uses.
1001. devils - 2 uses.
1002. bloodline - 2 uses.
1003. faster - 2 uses.
1004. case - 2 uses.
1005. shed - 2 uses.
1006. signs - 2 uses.
1007. sparks - 2 uses.
1008. humble - 2 uses.
1009. nailed - 2 uses.
1010. silent - 2 uses.
1011. different - 2 uses.
1012. emergency - 2 uses.
1013. twitches - 1 use.
1014. exist - 1 use.
1015. confusion - 1 use.
1016. prays - 1 use.
1017. fright - 1 use.
1018. flinch - 1 use.
1019. persistence - 1 use.
1020. shock - 1 use.
1021. kicks - 1 use.
1022. molesters - 1 use.
1023. powerful - 1 use.
1024. bridged - 1 use.
1025. most - 1 use.
1026. important - 1 use.
1027. those - 1 use.
1028. forwards - 1 use.
1029. demons - 1 use.
1030. suffocate - 1 use.
1031. footing - 1 use.
1032. mixed - 1 use.
1033. smaller - 1 use.
1034. redemption - 1 use.
1035. sell - 1 use.
1036. tread - 1 use.
1037. filling - 1 use.
1038. necks - 1 use.
1039. storys - 1 use.
1040. contradicting - 1 use.
1041. cheating - 1 use.
1042. chapters - 1 use.
1043. surprises - 1 use.
1044. dried - 1 use.
1045. flaming - 1 use.
1046. finding - 1 use.
1047. expense - 1 use.
1048. bleeding - 1 use.
1049. grieving - 1 use.
1050. depression - 1 use.
1051. bodywas - 1 use.
1052. hourglass - 1 use.
1053. sand - 1 use.
1054. thanks - 1 use.
1055. drove - 1 use.
1056. ended - 1 use.
1057. anger - 1 use.
1058. chose - 1 use.
1059. route - 1 use.
1060. blast - 1 use.
1061. final - 1 use.
1062. extinction - 1 use.
1063. lays - 1 use.
1064. pool - 1 use.
1065. scream - 1 use.
1066. terror - 1 use.
1067. mutilation - 1 use.
1068. strangulation - 1 use.
1069. whoever - 1 use.
1070. meat-eating - 1 use.
1071. orchids - 1 use.
1072. yet - 1 use.
1073. babys - 1 use.
1074. hymen - 1 use.
1075. highness - 1 use.
1076. umbilical - 1 use.
1077. noose - 1 use.
1078. parts - 1 use.
1079. rebuild - 1 use.
1080. ate - 1 use.
1081. ambitions - 1 use.
1082. plague - 1 use.
1083. disguised - 1 use.
1084. colony - 1 use.
1085. wipe - 1 use.
1086. youd - 1 use.
1087. relief - 1 use.
1088. support - 1 use.
1089. movie - 1 use.
1090. plays - 1 use.
1091. remembering - 1 use.
1092. re-run - 1 use.
1093. promised - 1 use.
1094. complain - 1 use.
1095. game - 1 use.
1096. sincerely - 1 use.
1097. ocean - 1 use.
1098. city - 1 use.
1099. skylight - 1 use.
1100. slide - 1 use.
1101. wrapped - 1 use.
1102. reaches - 1 use.
1103. expected - 1 use.
1104. arrive - 1 use.
1105. instead - 1 use.
1106. passed - 1 use.
1107. seasons - 1 use.
1108. waited - 1 use.
1109. gotten - 1 use.
1110. regrets - 1 use.
1111. impact - 1 use.
1112. clouds - 1 use.
1113. isnt - 1 use.
1114. fucked - 1 use.
1115. listened - 1 use.
1116. shit - 1 use.
1117. pawn - 1 use.
1118. departing - 1 use.
1119. um - 1 use.
1120. encourage - 1 use.
1121. blessed - 1 use.
1122. member - 1 use.
1123. band - 1 use.
1124. worked - 1 use.
1125. says - 1 use.
1126. acknowledge - 1 use.
1127. sinned - 1 use.
1128. risen - 1 use.
1129. third - 1 use.
1130. hasnt - 1 use.
1131. religious - 1 use.
1132. intent - 1 use.
1133. intents - 1 use.
1134. huge - 1 use.
1135. reveal - 1 use.
1136. himself - 1 use.
