Most used words by Pinegrove: 
Number of songs scanned: 49

1034. flicker - 1 use.
1035. quickly - 1 use.
1036. decide - 1 use.
1037. tapped - 1 use.
1038. collapse - 1 use.
1039. temper - 1 use.
1040. send - 1 use.
1041. cadmium - 1 use.
1042. year - 1 use.
1043. shine - 1 use.
1044. edges - 1 use.
1045. unfeel - 1 use.
1046. sorting - 1 use.
1047. sitting - 1 use.
1048. outskirts - 1 use.
1049. wrap - 1 use.
1050. iodine - 1 use.
1051. history - 1 use.
1052. laugh - 1 use.
1053. measure - 1 use.
1054. narrow - 1 use.
1055. length - 1 use.
1056. senator - 1 use.
1057. invented - 1 use.
1058. talked - 1 use.
1059. bluest - 1 use.
1060. pill - 1 use.
1061. author - 1 use.
1062. bill - 1 use.
1063. bragging - 1 use.
1064. youtube - 1 use.
1065. criminals - 1 use.
1066. kill - 1 use.
1067. theyd - 1 use.
1068. vote - 1 use.
1069. havent - 1 use.
1070. cast - 1 use.
1071. ballot - 1 use.
1072. meant - 1 use.
1073. places - 1 use.
1074. money - 1 use.
1075. job - 1 use.
1076. seen - 1 use.
1077. sob - 1 use.
1078. sink - 1 use.
1079. mirror - 1 use.
1080. reconciling - 1 use.
1081. image - 1 use.
1082. appear - 1 use.
1083. chest - 1 use.
1084. imploding - 1 use.
1085. rose - 1 use.
1086. resumed - 1 use.
1087. caravaggio - 1 use.
1088. dad - 1 use.
1089. advice - 1 use.
1090. setbacks - 1 use.
1091. began - 1 use.
1092. fight - 1 use.
1093. confused - 1 use.
1094. laughing - 1 use.
1095. awe - 1 use.
1096. size - 1 use.
1097. alive - 1 use.
1098. five - 1 use.
1099. thingsd - 1 use.
1100. visit - 1 use.
1101. future - 1 use.
1102. field - 1 use.
1103. alcove - 1 use.
1104. folded - 1 use.
1105. family - 1 use.
1106. emily - 1 use.
1107. east - 1 use.
1108. bring - 1 use.
1109. peace - 1 use.
1110. release - 1 use.
1111. spectral - 1 use.
1112. visiting - 1 use.
1113. doing - 1 use.
1114. track - 1 use.
1115. wound - 1 use.
1116. unraveling - 1 use.
1117. fragments - 1 use.
1118. aligning - 1 use.
1119. figure - 1 use.
1120. goddamned - 1 use.
1121. california - 1 use.
1122. arcs - 1 use.
1123. after - 1 use.
1124. brittle - 1 use.
1125. soul - 1 use.
1126. radio - 1 use.
1127. car - 1 use.
1128. montclair - 1 use.
1129. elsewhere - 1 use.
1130. dribbling - 1 use.
1131. justifying - 1 use.
1132. anythings - 1 use.
1133. thick - 1 use.
1134. pupil - 1 use.
1135. dilating - 1 use.
1136. quietly - 1 use.
1137. interstices - 1 use.
1138. round - 1 use.
1139. / - 1 use.
1140. whered - 1 use.
1141. suitcase - 1 use.
1142. lure - 1 use.
1143. though - 1 use.
1144. simple - 1 use.
1145. carnivore - 1 use.
1146. appetite - 1 use.
1147. insect - 1 use.
1148. upside - 1 use.
1149. right-side-up - 1 use.
1150. itself - 1 use.
1151. tapping - 1 use.
1152. mechanism - 1 use.
1153. spins - 1 use.
1154. tips - 1 use.
1155. vertical - 1 use.
1156. alien - 1 use.
1157. beautiful - 1 use.
1158. determined - 1 use.
1159. stayed - 1 use.
1160. mid-sized - 1 use.
1161. opossum - 1 use.
1162. dying - 1 use.
1163. collided - 1 use.
1164. vehicle - 1 use.
