Most used words by  PUP: 
Number of songs scanned: 46

1031. yellow - 1 uses.
1032. haunting - 1 uses.
1033. looked - 1 uses.
1034. cracked - 1 uses.
1035. turn - 1 uses.
1036. lot - 1 uses.
1037. failed - 1 uses.
1038. act - 1 uses.
1039. rails - 1 uses.
1040. boarding - 1 uses.
1041. commuter - 1 uses.
1042. boss - 1 uses.
1043. calling - 1 uses.
1044. cutbacks - 1 uses.
1045. third - 1 uses.
1046. brink - 1 uses.
1047. debt - 1 uses.
1048. regrets - 1 uses.
1049. shift - 1 uses.
1050. spark - 1 uses.
1051. thinkin - 1 uses.
1052. jesus - 1 uses.
1053. sweat - 1 uses.
1054. soaked - 1 uses.
1055. corner - 1 uses.
1056. cigarettes - 1 uses.
1057. matches - 1 uses.
1058. kid - 1 uses.
1059. smiling - 1 uses.
1060. school - 1 uses.
1061. gun - 1 uses.
1062. piles - 1 uses.
1063. son - 1 uses.
1064. sleeps - 1 uses.
1065. pretend - 1 uses.
1066. repeated - 1 uses.
1067. candles - 1 uses.
1068. walked - 1 uses.
1069. gasoline - 1 uses.
1070. shape - 1 uses.
1071. pentagram - 1 uses.
1072. lit - 1 uses.
1073. match - 1 uses.
1074. circle - 1 uses.
1075. shooting - 1 uses.
1076. vision - 1 uses.
1077. satan - 1 uses.
1078. send - 1 uses.
1079. sink - 1 uses.
1080. windows - 1 uses.
1081. prefer - 1 uses.
1082. ashley - 1 uses.
1083. mary - 1 uses.
1084. kate - 1 uses.
1085. tripping - 1 uses.
1086. kissing - 1 uses.
1087. salty - 1 uses.
1088. lips - 1 uses.
1089. wet - 1 uses.
1090. nose - 1 uses.
1091. drip - 1 uses.
1092. twenty - 1 uses.
1093. below - 1 uses.
1094. shaking - 1 uses.
1095. drifter - 1 uses.
1096. free - 1 uses.
1097. escape - 1 uses.
1098. motivation - 1 uses.
1099. keepin - 1 uses.
1100. expectations - 1 uses.
1101. sloppy - 1 uses.
1102. steffy - 1 uses.
1103. callin - 1 uses.
1104. course - 1 uses.
1105. woo - 1 uses.
1106. fogo - 1 uses.
1107. island - 1 uses.
1108. ghosts - 1 uses.
1109. lover - 1 uses.
1110. eastern - 1 uses.
1111. forest - 1 uses.
1112. grows - 1 uses.
