Most used words by EDEN: 
Number of songs scanned: 82

1091. vertigo - 1 use.
1092. tread - 1 use.
1093. softly - 1 use.
1094. everyones - 1 use.
1095. courage - 1 use.
1096. shadow - 1 use.
1097. sneak - 1 use.
1098. melted - 1 use.
1099. stoppi– - 1 use.
1100. progress - 1 use.
1101. deny - 1 use.
1102. werent - 1 use.
1103. sonder - 1 use.
1104. terrified - 1 use.
1105. spend - 1 use.
1106. over-preoccupied - 1 use.
1107. thinkin - 1 use.
1108. react - 1 use.
1109. ghosted - 1 use.
1110. itd - 1 use.
1111. purpose - 1 use.
1112. fill - 1 use.
1113. gaps - 1 use.
1114. heartbeats - 1 use.
1115. fleeting - 1 use.
1116. clear - 1 use.
1117. younger - 1 use.
1118. showing - 1 use.
1119. likes - 1 use.
1120. tongue - 1 use.
1121. flesh - 1 use.
1122. honest - 1 use.
1123. touchdown - 1 use.
1124. giant - 1 use.
1125. highlight - 1 use.
1126. headline - 1 use.
1127. disintegrate - 1 use.
1128. lesser - 1 use.
1129. idle - 1 use.
1130. stress - 1 use.
1131. rest - 1 use.
1132. cu– - 1 use.
1133. pouring - 1 use.
1134. ice - 1 use.
1135. connotations - 1 use.
