Most used words by Lucero: 
Number of songs scanned: 126

966. whittled - 2 uses.
967. store - 2 uses.
968. dime - 2 uses.
969. palm - 2 uses.
970. hoping - 2 uses.
971. stayin - 2 uses.
972. davis - 2 uses.
973. bikes - 2 uses.
974. john - 2 uses.
975. different - 2 uses.
976. pulled - 2 uses.
977. weeds - 2 uses.
978. heroes - 2 uses.
979. ended - 2 uses.
980. telling - 2 uses.
981. o - 2 uses.
982. slack - 2 uses.
983. sail - 2 uses.
984. crashing - 2 uses.
985. rope - 2 uses.
986. figures - 2 uses.
987. bow - 2 uses.
988. crazy - 2 uses.
989. stitched - 2 uses.
990. belly - 2 uses.
991. year - 2 uses.
992. box - 2 uses.
993. moves - 2 uses.
994. tells - 2 uses.
995. kicks - 2 uses.
996. fun - 2 uses.
997. feeling - 2 uses.
998. paw - 2 uses.
999. threw - 2 uses.
1000. tavern - 2 uses.
1001. mississippi - 2 uses.
1002. sister - 2 uses.
1003. coca-cola - 2 uses.
1004. understood - 2 uses.
1005. cares - 2 uses.
1006. whisper - 2 uses.
1007. act - 2 uses.
1008. proud - 2 uses.
1009. ladies - 2 uses.
1010. few - 2 uses.
1011. breaking - 2 uses.
1012. tough - 2 uses.
1013. built - 2 uses.
1014. anybodys - 2 uses.
1015. means - 2 uses.
1016. worth - 2 uses.
1017. silence - 2 uses.
1018. louder - 2 uses.
1019. sounding - 2 uses.
1020. buried - 2 uses.
1021. dirt - 2 uses.
1022. worked - 2 uses.
1023. sons - 2 uses.
1024. hearing - 2 uses.
1025. bands - 2 uses.
1026. wander - 2 uses.
1027. closer - 2 uses.
1028. fortune - 2 uses.
1029. followed - 2 uses.
1030. mud - 2 uses.
1031. mile - 2 uses.
1032. comfort - 2 uses.
1033. laying - 2 uses.
1034. rather - 2 uses.
1035. gas - 2 uses.
1036. completely - 2 uses.
1037. awake - 2 uses.
1038. dress - 2 uses.
1039. fourteen - 2 uses.
1040. thatd - 2 uses.
1041. thirty-nine - 2 uses.
1042. six-foot - 2 uses.
1043. doggone - 2 uses.
1044. shame - 2 uses.
1045. angel - 2 uses.
1046. stick - 2 uses.
1047. listened - 2 uses.
1048. slipped - 2 uses.
1049. mother - 2 uses.
1050. legs - 2 uses.
1051. rings - 2 uses.
1052. leather - 2 uses.
1053. led - 2 uses.
1054. rivers - 2 uses.
1055. climb - 2 uses.
1056. slowly - 2 uses.
1057. trade - 2 uses.
1058. hollywood - 2 uses.
1059. overpass - 2 uses.
1060. hour - 2 uses.
1061. warren - 2 uses.
1062. zevons - 2 uses.
1063. los - 2 uses.
1064. angeles - 2 uses.
1065. gower - 2 uses.
1066. avenue - 2 uses.
1067. credit - 2 uses.
1068. smell - 2 uses.
1069. honest - 2 uses.
1070. winters - 2 uses.
1071. himself - 2 uses.
1072. roof - 2 uses.
1073. wet - 2 uses.
1074. starting - 2 uses.
1075. race - 2 uses.
1076. asleep - 2 uses.
1077. girlfriends - 2 uses.
1078. sweethearts - 2 uses.
1079. santa - 2 uses.
1080. dove - 2 uses.
1081. truck - 2 uses.
1082. remembering - 2 uses.
1083. despite - 2 uses.
1084. near - 2 uses.
1085. winds - 2 uses.
1086. guilt - 2 uses.
1087. drown - 2 uses.
1088. crown - 2 uses.
1089. bear - 2 uses.
1090. jeans - 2 uses.
1091. riders - 2 uses.
1092. caused - 2 uses.
1093. railroad - 2 uses.
1094. sleeps - 2 uses.
1095. ways - 2 uses.
1096. sorrow - 2 uses.
1097. shifts - 2 uses.
1098. hollow - 2 uses.
1099. becomes - 2 uses.
1100. gamble - 2 uses.
1101. drop - 2 uses.
1102. strings - 2 uses.
1103. heartbreaking - 2 uses.
1104. noise - 2 uses.
1105. pays - 2 uses.
1106. satisfied - 2 uses.
1107. movin - 2 uses.
1108. swayin - 2 uses.
1109. turns - 2 uses.
1110. push - 2 uses.
1111. everyones - 2 uses.
1112. annies - 2 uses.
1113. pistol - 2 uses.
1114. grew - 2 uses.
1115. smokin - 2 uses.
1116. november - 2 uses.
1117. washed - 2 uses.
1118. ol - 2 uses.
1119. firelight - 2 uses.
1120. false - 2 uses.
1121. fronts - 2 uses.
1122. cinder - 2 uses.
1123. remade - 2 uses.
1124. heels - 2 uses.
1125. perfect - 2 uses.
1126. armageddon - 2 uses.
1127. judge - 2 uses.
1128. katie - 2 uses.
